step,congestion_detected,congestion_event_count,congestion_events,controller_threshold,cwnd,host_available_bandwidth,host_packets_dropped,host_queue_occupancy,host_queue_occupancy_ratio,local_app_load,local_bandwidth_used,local_is_throttled,network_loss_rate,network_packets_dropped,network_queue_length,nic_occupancy,nic_occupancy_ratio,nic_packets_dropped,packets_acked,packets_inflight,packets_sent,rtt
38,0,0,3,115.435,78,34.565,0,50,0.25,0.3086999999999999,30.86999999999999,1,0.01,5,12,0,0.0,0,251,67,318,10
39,0,0,3,110.80449999999999,80,39.1955,0,17,0.085,0.21608999999999992,21.60899999999999,0,0.01,5,17,0,0.0,0,290,39,329,10
40,0,0,3,112.38938904316457,82,37.61061095683543,0,0,0.0,0.24778778086329145,24.778778086329144,0,0.01,5,36,0,0.0,0,313,41,354,10
41,0,0,3,113.69652973286804,84,36.30347026713195,0,0,0.0,0.273930594657361,27.3930594657361,0,0.01,5,61,0,0.0,0,313,66,379,10
42,0,0,3,115.47405032232498,86,34.525949677675015,0,0,0.0,0.3094810064464997,30.94810064464997,0,0.01,5,79,0,0.0,0,313,84,397,10
43,0,0,3,116.83333013983876,88,33.166669860161235,0,0,0.0,0.3366666027967753,33.66666027967753,0,0.01,5,81,0,0.0,0,313,86,399,10
44,0,0,3,118.09837166816759,90,31.90162833183241,0,0,0.0,0.3619674333633518,36.19674333633518,0,0.01,6,72,0,0.0,0,323,78,401,10
45,0,0,3,119.62144286642327,92,30.378557133576734,0,0,0.0,0.39242885732846533,39.24288573284653,0,0.01,7,59,0,0.0,0,347,66,413,10
46,0,0,3,121.07937575641716,94,28.920624243582832,0,0,0.0,0.42158751512834336,42.158751512834336,0,0.01,7,59,0,0.0,0,372,66,438,10
47,0,0,3,122.39603689846099,96,27.60396310153901,0,0,0.0,0.4479207379692199,44.79207379692199,0,0.01,8,66,0,0.0,0,389,74,463,10
48,0,0,3,124.18877237030087,98,25.81122762969914,0,0,0.0,0.48377544740601724,48.37754474060173,0,0.01,8,86,0,0.0,0,391,94,485,10
49,0,0,3,125.92362792578712,100,24.076372074212877,0,0,0.0,0.5184725585157425,51.847255851574246,0,0.01,8,88,0,0.0,0,393,96,489,10
50,0,0,3,127.42649482468177,102,22.573505175318235,0,0,0.0,0.5485298964936353,54.85298964936353,0,0.01,8,80,0,0.0,0,405,88,493,10
51,0,0,3,128.6729848370006,104,21.327015162999395,0,3,0.015,0.5734596967400121,57.34596967400121,0,0.01,9,69,0,0.0,0,426,81,507,10
52,0,0,3,130.1243976065785,106,19.875602393421506,0,9,0.045,0.6024879521315699,60.24879521315699,0,0.01,9,67,0,0.0,0,445,85,530,10
53,0,0,3,131.7811354313149,108,18.21886456868509,0,13,0.065,0.6356227086262982,63.56227086262982,0,0.01,9,66,0,0.0,0,463,88,551,10
54,0,0,3,133.44127429032866,110,16.558725709671346,0,1,0.005,0.6688254858065731,66.88254858065731,0,0.01,9,82,0,0.0,0,479,92,571,10
55,0,0,3,135.1328549949153,112,14.867145005084692,0,0,0.0,0.7026570998983062,70.26570998983061,0,0.01,9,96,0,0.0,0,484,105,589,10
56,0,0,3,136.73926336702556,114,13.260736632974446,0,1,0.005,0.7347852673405111,73.47852673405112,0,0.01,9,89,0,0.0,0,497,99,596,10
57,0,0,3,138.1962901749664,116,11.803709825033598,0,13,0.065,0.763925803499328,76.3925803499328,0,0.01,9,81,0,0.0,0,508,103,611,10
58,0,0,3,139.92526888536807,118,10.074731114631936,0,24,0.12,0.7985053777073613,79.85053777073612,0,0.01,9,73,0,0.0,0,518,106,624,10
59,0,0,3,141.41976168641523,120,8.58023831358478,0,36,0.18,0.8283952337283044,82.83952337283044,0,0.01,9,65,0,0.0,0,526,110,636,10
60,0,0,3,142.74959247034238,122,7.250407529657621,0,47,0.235,0.8549918494068476,85.49918494068476,0,0.01,9,57,0,0.0,0,533,113,646,10
61,0,0,3,144.47322431134148,124,5.526775688658503,0,49,0.245,0.8894644862268299,88.946448622683,0,0.01,9,59,0,0.0,0,538,117,655,10
62,0,0,3,145.0,126,4.999999999999999,0,60,0.3,0.9,90.0,0,0.01,9,51,0,0.0,0,542,120,662,10
63,0,0,3,145.0,128,4.999999999999999,0,69,0.345,0.9,90.0,0,0.01,9,44,0,0.0,0,546,122,668,10
64,0,0,3,145.0,130,4.999999999999999,0,77,0.385,0.9,90.0,0,0.01,9,38,0,0.0,0,550,124,674,10
65,0,0,3,145.0,132,4.999999999999999,0,83,0.415,0.9,90.0,0,0.01,9,34,0,0.0,0,554,126,680,10
66,0,0,3,145.0,134,4.999999999999999,0,88,0.44,0.9,90.0,0,0.01,9,31,0,0.0,0,558,128,686,10
67,0,0,3,145.0,136,4.999999999999999,0,91,0.455,0.9,90.0,0,0.01,9,30,0,0.0,0,562,130,692,10
68,0,0,3,145.0,138,4.999999999999999,0,93,0.465,0.9,90.0,0,0.01,9,30,0,0.0,0,566,132,698,10
69,0,0,3,145.0,140,4.999999999999999,0,95,0.475,0.9,90.0,0,0.01,9,30,0,0.0,0,570,134,704,10
70,0,0,3,145.0,142,4.999999999999999,0,97,0.485,0.9,90.0,0,0.01,9,30,0,0.0,0,574,136,710,10
71,0,0,3,145.0,144,4.999999999999999,0,99,0.495,0.9,90.0,0,0.01,9,30,0,0.0,0,578,138,716,10
72,0,0,3,145.0,146,4.999999999999999,0,101,0.505,0.9,90.0,0,0.01,9,30,0,0.0,0,582,140,722,10
73,0,0,3,145.0,148,4.999999999999999,0,103,0.515,0.9,90.0,0,0.01,9,30,0,0.0,0,586,142,728,10
74,0,0,3,145.0,150,4.999999999999999,0,105,0.525,0.9,90.0,0,0.01,9,30,0,0.0,0,590,144,734,10
75,0,0,3,145.0,152,4.999999999999999,0,107,0.535,0.9,90.0,0,0.01,9,30,0,0.0,0,594,146,740,10
76,0,0,3,145.0,154,4.999999999999999,0,109,0.545,0.9,90.0,0,0.01,9,30,0,0.0,0,598,148,746,10
77,1,0,4,145.0,123,4.999999999999999,0,111,0.555,0.9,90.0,1,0.01,9,30,0,0.0,0,602,150,752,10
78,1,0,5,131.5,98,18.5,0,99,0.495,0.63,63.0,1,0.01,9,24,0,0.0,0,620,132,752,10
79,1,0,6,122.05,78,27.950000000000003,0,78,0.39,0.44099999999999995,44.099999999999994,1,0.01,9,18,0,0.0,0,647,105,752,10
80,0,0,6,115.435,80,34.565,0,50,0.25,0.3086999999999999,30.86999999999999,1,0.01,9,12,0,0.0,0,681,71,752,10
81,0,0,6,110.80449999999999,82,39.1955,0,17,0.085,0.21608999999999992,21.60899999999999,0,0.01,9,15,0,0.0,0,720,41,761,10
82,0,0,6,112.49134534153892,84,37.508654658461076,0,0,0.0,0.24982690683077843,24.982690683077845,0,0.01,9,34,0,0.0,0,743,43,786,10
83,0,0,6,113.9927200316187,86,36.0072799683813,0,0,0.0,0.27985440063237405,27.985440063237405,0,0.01,9,59,0,0.0,0,743,68,811,10
84,0,0,6,115.54682828920444,88,34.45317171079556,0,0,0.0,0.31093656578408885,31.093656578408886,0,0.01,9,77,0,0.0,0,743,86,829,10
85,0,0,6,117.26864847722177,90,32.731351522778226,0,0,0.0,0.3453729695444354,34.53729695444354,0,0.01,9,79,0,0.0,0,743,88,831,10
86,0,0,6,118.99316270165436,92,31.006837298345648,0,0,0.0,0.3798632540330871,37.98632540330871,0,0.01,9,72,0,0.0,0,752,81,833,10
87,0,0,6,120.39629944208522,94,29.603700557914784,0,0,0.0,0.4079259888417043,40.79259888417043,0,0.01,9,58,0,0.0,0,777,67,844,10
88,0,0,6,121.77232010766434,96,28.22767989233566,0,0,0.0,0.4354464021532868,43.54464021532868,0,0.01,10,58,0,0.0,0,801,68,869,10
89,0,0,6,123.12237904230896,98,26.87762095769104,0,0,0.0,0.4624475808461792,46.24475808461792,0,0.01,10,65,0,0.0,0,819,75,894,10
90,0,0,6,124.8648722168452,100,25.135127783154804,0,0,0.0,0.4972974443369039,49.72974443369039,0,0.01,10,86,0,0.0,0,821,96,917,10
91,0,0,6,126.42911121574376,102,23.570888784256244,0,0,0.0,0.5285822243148751,52.85822243148751,0,0.01,10,88,0,0.0,0,823,98,921,10
92,0,0,6,128.00164591362193,104,21.998354086378065,0,0,0.0,0.5600329182724387,56.00329182724387,0,0.01,10,81,0,0.0,0,834,91,925,10
93,0,0,6,129.25572593906966,106,20.744274060930334,0,5,0.025,0.5851145187813933,58.51145187813933,0,0.01,10,69,0,0.0,0,854,84,938,10
94,0,0,6,130.93013512022304,108,19.069864879776972,0,11,0.055,0.6186027024044606,61.860270240446056,0,0.01,10,66,0,0.0,0,873,87,960,10
95,0,0,6,132.66249070534013,110,17.33750929465987,0,17,0.085,0.6532498141068026,65.32498141068027,0,0.01,10,64,0,0.0,0,890,91,981,10
96,0,0,6,134.10137449098676,112,15.898625509013248,0,6,0.03,0.682027489819735,68.2027489819735,0,0.01,10,79,0,0.0,0,905,95,1000,10
97,0,0,6,135.69903573382393,114,14.300964266176063,0,0,0.0,0.7139807146764787,71.39807146764787,0,0.01,10,92,0,0.0,0,915,102,1017,10
98,0,0,6,137.04517707212236,116,12.954822927877652,0,0,0.0,0.740903541442447,74.0903541442447,0,0.01,11,91,0,0.0,0,927,102,1029,10
99,0,0,6,138.32317235098841,118,11.676827649011589,0,11,0.055,0.7664634470197682,76.64634470197682,0,0.01,11,83,0,0.0,0,938,105,1043,10
